Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
874d6f27-5c77-46fd-9d55-56e8880c9c03,,,Esomeprazole,Esoméprazole,Drug,N/A,,,
6315c226-01f6-4c59-9332-74f5347c3ef7,,,Permethrin,Perméthrine,Drug,N/A,,,
965b643b-c07e-4959-8476-172e4aa5c4f9,,,Miconozole,Miconozole,Drug,N/A,,,
af2ea7b7-e1f3-4e26-be0d-7d67242b8fd4,,,Tolnoftate,Tolnoftate,Drug,N/A,,,
4ceec0ac-5c27-4c46-bb21-73dde18d02bd,,,Lidocaine,Lidocaïne,Drug,N/A,,,
1b296ced-55cc-48b7-96c3-9447267d1302,,,Benzyl Benzoate,Benzoate de benzyl,Drug,N/A,,,
37466129-caab-4a63-b050-95f6d7024ef6,,,Glyburide,Glyburide,Drug,N/A,,,
73e70d41-9b9c-467d-b7a8-8ca548d34031,,,Cefaclor,Céfaclor,Drug,N/A,,,
fdb394d2-4ed8-4a8f-be4b-a37e3a783537,,,Famciclovir,Famciclovir,Drug,N/A,,,
42bd60df-ddbb-402e-afb0-55479036d9c2,,,Minocycline,Minocycline,Drug,N/A,,,
be063ef1-5a35-491c-b521-fd93bcad0117,,,Clindamycin,Clindamycine,Drug,N/A,,,
587a6e6e-3675-4c92-bac0-a5c99ce1425e,,,Tobramycin & Dexamethasone,Trobramycine & Dexaméthasone,Drug,N/A,,,
fb23af41-6811-4e45-b0ee-dc1c0e2239cb,,,Methylprednisolone,Méthylprednisolone,Drug,N/A,,,
17faad0f-246e-40fa-ba44-182e08ad51e5,,,Tetrahydrozoline,Tétrahydrozoline,Drug,N/A,,,
8f446491-b746-43ae-bb22-1511aa0c5e29,,,Fexofenadine,Fexofenadine,Drug,N/A,,,
0e35f48a-437d-4f32-8b83-bfb20c814457,,,Guaifenesin,Guaifénésine,Drug,N/A,,,
73e97253-5b15-4893-bd83-d4aca5f57eb7,,,Aclidinium Bromide,Bromure d'aclidinium,Drug,N/A,,,
dbd7f53b-ea41-4cdd-bfe1-32d47536b469,,,Amoxicillin & Clauvulanic Acid,Amoxicillin et acide clauvulanique,Drug,N/A,,,
5a2b62f9-6254-4ef1-925b-0224f8dfefb1,,,Atovaquone & Proquanil hydrochloride,Atovaquone et chlorihydrate de proquanil,Drug,N/A,,,
f5e348b5-ecd5-47cf-9a37-78e7ef08978d,,,Captopril,Captopril,Drug,N/A,,,
7c929bab-b652-4ef1-b0de-6d98c6cee180,,,Chloroquine phosphate,Phosphate de chloroquine,Drug,N/A,,,
213140e7-8ea5-467e-8915-014de88149b2,,,Corticosteroid,Corticostéroïdes,Drug,N/A,,,
8d26417d-5d45-4ca8-9d91-c18ae5792c8b,,,Emollient Lotion,Lotion émolliente,Drug,N/A,,,
bbd3baa3-64bc-443d-b794-d684b413d7dd,,,Erythromycin estolate,Estolate érythromycine,Drug,N/A,,,
d49e1658-7a16-41d2-8937-4c785a8f6d4b,,,Ferrous sulfate,Sulfate ferreux,Drug,N/A,,,
59c4799f-151b-4479-a9c8-a05a27893d29,,,Fluticasone spray,Fluticasone en vaporisateur,Drug,N/A,,,
3332a02d-c154-45e8-ae0a-b9d36c899770,,,Hydrocortisone & Acetic Acid,Hydrocortisone et acid acétique,Drug,N/A,,,
36b65481-8912-496e-b26a-10da10cd1d4e,,,Iptratropium bromide & albuterol,Bromure d'iptratropium et albuterol,Drug,N/A,,,
6a5c3069-492d-4aa3-99a1-93497fb3d1c9,,,Lansoprazole,Lansoprazole,Drug,N/A,,,
6ff87358-869f-4756-b74d-dda05de51848,,,Odansetron hydrochloride,Hydrochlorure d'odansetron,Drug,N/A,,,
28001e9e-9369-421a-8e01-f2d9d68f0784,,,Oral rehydration therapy,Thérapie de rehydration orale,Drug,N/A,,,
8540ed16-f5ba-4abb-b707-6abd20032a84,,,Propranolol hydrochloride,Hydrochlorure de propranolol,Drug,N/A,,,
f7977809-0fbe-47a4-8905-e375bcb31f3f,,,Saline flush,Saline flush,Drug,N/A,,,
516e7c1e-9019-4c19-a853-862e4a8fd8c1,,,Sulfacetamide,Sulfacetamide,Drug,N/A,,,
33bf57ae-526a-469f-8e88-a2fd07bd9da9,,,Tiotropium powder,Poudre de tiotropium,Drug,N/A,,,
e28a653a-d7fc-4158-989f-9515963ea3db,,,Triple antibiotic,Antibiotique triple,Drug,N/A,,,
70f0f39c-9a43-4902-9f56-d7f8007f5c6c,,,Eye glasses,Lunettes,Drug,N/A,,,
3fc18bdb-948e-4573-add5-37d75853daf6,,,Orthopedic device,Appareil orthopédique,Drug,N/A,,,
b88ca045-2707-4fff-b383-89840293334d,,,Heatwrap,Heatwrap,Drug,N/A,,,
84bb5c70-878b-45c3-96e7-3282e4121e02,,,Alpha Methyl Dopa,Alpha Métyl Dopa,Drug,N/A,,,
07470e7f-f959-4344-89f6-8e6a0f442bef,,,Antipyrine,Antipyrine,Drug,N/A,,,
66de98f3-03e1-4733-9534-1f59dee19429,,,Apetamine,Apetamine,Drug,N/A,,,
a6ba4400-1db2-4d47-854f-3342204995ba,,,Apressoline,Apressoline,Drug,N/A,,,
ca2598c9-64d9-475a-b506-b6cc81741a61,,,Bebe Sirop,Bébé Sirop,Drug,N/A,,,
7736310e-38d7-4a06-804b-086874b76876,,,Bromhexine,Bromhexine,Drug,N/A,,,
a4615855-e041-4352-baae-339940d274f7,,,Co-Amoxiclav,Co-Amoxiclav,Drug,N/A,,,
b50b13e1-4188-447d-8fbc-bd29fb91daa3,,,Dolex,Dolex,Drug,N/A,,,
ec4cfcae-c438-48fb-b2e5-e696d7172270,,,Dypirone,Dypirone,Drug,N/A,,,
5f9d24b2-ac16-40eb-be4c-ab16af8f8faa,,,Ergotamine,Ergotamine,Drug,N/A,,,
d1274833-6c0e-480c-9c0a-b656156e6e7f,,,Ferrous Folate,Fer Folate,Drug,N/A,,,
f83db0a5-cf84-4d4e-a3bc-32eff500c578,,,Fungobacter,Fongobacter,Drug,N/A,,,
e6701098-9f0e-41f9-9c9d-fcdb57715bef,,,Glipizide,Glipizide,Drug,N/A,,,
c1131909-2911-4aa2-8b6c-ae7927f0ee90,,,Glibenclamide,Glibenclamide,Drug,N/A,,,
c9c0c627-7ba6-4880-a702-cfc985a296fa,,,Griseofulvine,Griséofulvine,Drug,N/A,,,
7dc18dde-ad3f-405a-be1e-8fc15a01cd91,,,Metoprolol,Metoprolol,Drug,N/A,,,
f9608d19-a304-4508-9074-4858cd3ccbed,,,Metronidazole and Nystatin,Metronidazole et Nystatin,Drug,N/A,,,
dee29eca-5758-4d7f-a98d-9a20551aaac3,,,Neomycin,Neomycine,Drug,N/A,,,
a86aa3b5-1e6e-4eb0-bc3c-e564d60eb490,,,Benzocaine-Chloroxylenol,Benzocaïne-chloroxylénol,Drug,N/A,,,
3fc5c46f-9c31-46ef-b96e-a12216f93a62,,,Simethicone,Siméthicone,Drug,N/A,,,
3cba8193-4ffd-4cc3-828b-3269da016da5,,,Simvastatin,Simvastatine,Drug,N/A,,,
0f57f6ea-d4bf-4291-98a0-81eacbb8b49f,,,Sorbitol,Sorbitol,Drug,N/A,,,
8836eada-b012-423d-bb77-e4da796f5885,,,"Acetaminophen,Pseudo-ephedrine,Dextrometorphan,Chlorpheniramine","Acétaminophene,pseudo-éphédrine,dextrométorphane,chlorphéniramine",Drug,N/A,,,
b7bab21f-5d84-4e48-b056-bdc25e696365,,,Vitamin C,Vitamine C,Drug,N/A,,,
e0cf9a43-ec8a-4b41-a856-688983c1a974,,,Amino Acids and Vitamins,Acides aminés et vitamines,Drug,N/A,,,
b2727136-70f5-470b-81a2-26aeff3f346f,,,"Levonorgestrel, Ethinylestradiol","Levonorgestrel, Ethinylestradiol",Drug,N/A,,,
71eb922d-5a51-415a-a838-8a815280abfa,,,Levonorgestrel,Levonorgestrel,Drug,N/A,,,
6533b40f-a783-435f-9c92-19d5e7343d98,,,Medroxyprojesterone acetate,Medroxyprojesterone acetate,Drug,N/A,,,
c103ec05-577d-4f64-85ec-54c361895198,,,"Rifampicine, Isoniazide, Ethambutol, pyrazinamide","Rifampicine, Isoniazide, Ethambutol, pyrazinamide",Drug,N/A,,,
606f9339-1430-4a00-8515-55095ef66c3b,,,"Rifampicine, Isoniazide","Rifampicine, Isoniazide",Drug,N/A,,,
7f27a5d2-cf2c-46da-a3c8-efaaa52c08e3,,,Albendazole and Vitamin A Set,Albendazole en Vitamine A Set,MedSet,N/A,Albendazole;Vitamin A,,
03fd8509-dd26-4e5f-bb17-70b66dcb5ad4,,,Paracetamol & Chlorzoxasone,Paracetamol & Chlorzoxasone,Drug,N/A,,,
0aa49771-8ef2-49cb-aa5d-0e2c842a0a1b,,,Sevoflurane,Sevoflurane,Drug,N/A,,,
20cd9b9c-9821-43f9-b6e7-531796b7a624,,,Succinylcholine,Succinylcholine,Drug,N/A,,,
f296897c-9b91-41e7-9af0-46a3ac07b9ce,,,Rocuronium,Rocuronium,Drug,N/A,,,
1b5edd5a-bf63-4fdd-8913-bfbf107a19ab,,,Vecuronium,Vecuronium,Drug,N/A,,,
86852158-699f-4522-af42-205a9bc758ca,,,Neostigmine,Neostigmine,Drug,N/A,,,
12b05d95-1ff2-49bf-b09e-706681e2f2d0,,,Fentanyl,Fentanyl,Drug,N/A,,,
1f70df91-2f8e-4d68-a40f-a2a47a2c2761,,,Thiopental,Thiopental,Drug,N/A,,,
bc09e8b4-cd8f-4ffc-ae74-5db1d76aed11,,,Bupivacaine spinal heavy,Bupivacaine spinal heavy,Drug,N/A,,,
5c07fc3a-5bcd-4282-9717-f0a3fbfe6f7e,,,Lidocaine & Epinephrine,Lidocaine & Epinephrine,Drug,N/A,,,
8652f96c-4a08-4545-a466-42b485ea07b2,,,Diphenidramine,Diphenidramine,Drug,N/A,,,
388ee6dc-41a5-478a-bc7c-2fdc9057ad23,,,Complex B,Complex B,Drug,N/A,,,
ced8473f-fd48-4058-a44b-7d8fb1a28c31,,,"Complex B (B1, B6, B12)","Complex B (B1, B6, B12)",Drug,N/A,,,
6ccf5902-c320-4367-88e4-211722dbfef8,,,Multivitamin,Multivitamin,Drug,N/A,,,
82cc193d-f772-4868-9c7f-5260500c7540,,,Multivitamin & Lysine,Multivitamin & Lysine,Drug,N/A,,,
a5f95187-9584-4bf6-abb7-536325edbca6,,,Ascorbic acid (Vit C),Ascorbic acid (Vit C),Drug,N/A,,,
f2bbf84c-646b-40a6-8265-6f6f9de694ab,,,Phytomenadione (Vit K),Phytomenadione (Vit K),Drug,N/A,,,
d58883a6-cd22-4d66-96dc-a2d3eace3d2e,,,Proteines,Protéines,Drug,N/A,,,
a7587ce7-f402-4ee3-b36b-4ab78d93d221,,,Zinc,Zinc,Drug,N/A,,,
d2b1ec52-b6e8-4646-be5b-6c5a850233b4,,,Heparin,Héparine,Drug,N/A,,,
cb8afacc-1b2c-493a-aad2-b67e69c73973,,,Clopidogrel,Clopidogrel,Drug,N/A,,,
4b0d1e15-abe9-4954-8a77-08c52f621a12,,,Nitroglycerin,Nitroglycérine,Drug,N/A,,,
24a723ac-3117-4772-aa2f-180bd7e2f026,,,Amiodarone,Amiodarone,Drug,N/A,,,
b78b18d6-b1ac-48dc-8111-5ab4ba588514,,,Nitroglycerin (Glycerine Trinitrate),Nitroglycérine (Glycerine Trinitrate),Drug,N/A,,,
91e206fa-fc82-43e1-a72b-dd1653b41428,,,Isosorbide dinitrate,Isosorbide dinitrate,Drug,N/A,,,
b87151c8-136b-4986-90bd-ca472176a08c,,,Hydralazine,Hydralazine,Drug,N/A,,,
2abaf024-1a07-4828-ad80-cff39e62c1f4,,,Methyldopa,Méthyldopa,Drug,N/A,,,
f9c6a3f8-a5d0-4034-ac77-e413c4b3c620,,,Labetalol,Labétalol,Drug,N/A,,,
428df146-4254-42d2-90cb-9a5d1bb95e3b,,,Nicardipine,Nicardipine,Drug,N/A,,,
2a1522a5-45f4-4cdd-ab7e-475724bdf32a,,,Sprironolactone,Sprironolactone,Drug,N/A,,,
0d935b47-6288-4856-b0b5-aa0f168dce69,,,Nifedepine SR,Nifédépine SR,Drug,N/A,,,
ba3cd2c4-d28f-4546-86d6-f6906fffc046,,,Carvedilol,Carvédilol,Drug,N/A,,,
8d8f4ed5-37b7-4eeb-b1d1-47ec84fedb18,,,Metoprolol tartrate,Métoprolol tartrate,Drug,N/A,,,
40e6108c-3561-4478-9df7-e5385277edd4,,,Propranalol,Propranalol,Drug,N/A,,,
94fad0f0-89b2-4489-9af0-043c4c40f529,,,Phenobarbital,Phénobarbital,Drug,N/A,,,
5b2fd057-c9f9-4603-b471-28b71c9ac864,,,Protamine,Protamine,Drug,N/A,,,
ddc56548-b688-4cd2-9402-0e2058407877,,,Insulin regular,Insuline réguliere,Drug,N/A,,,
468716a5-6e90-42c1-b870-59ae0911875a,,,Insulin NPH,Insuline NPH,Drug,N/A,,,
6e1f9544-89f0-4fb4-a0b1-fa4d457da618,,,Insulin (Fast & Long Acting),Insuline (Action rapide et longue),Drug,N/A,,,
ce130684-6cc5-4495-8c9e-24997c4d897f,,,Albumin,Albumine,Drug,N/A,,,
2dbd29cf-a0bc-4bfc-bb20-95dfd8c05245,,,Dextran,Dextran,Drug,N/A,,,
02a15b77-9093-4265-b422-4c4b218fc489,,,Gelofusine,Gélofusine,Drug,N/A,,,
409beedf-4f72-4f1c-9478-908917c11a8f,,,Calcium chloride,Chlorure de calcium,Drug,N/A,,,
800bb234-aabc-449c-ad8e-7510446dc1b1,,,Sodium bicarbonate,Bicarbonate de soude,Drug,N/A,,,
861a302b-cb47-4fc4-82ac-65ba4e971ff9,,,Aluminum & Magnesium hydroxide & Simethicone,Simethicone et hydroxide de magnesium et aluminium,Drug,N/A,,,
93c9e6d7-71f0-4817-8e64-1c12469cff4c,,,Bisacodyl,Bisacodyl,Drug,N/A,,,
ecff0e05-2d5d-40b8-8112-22ee733b17a1,,,Sodium phosphate (Fleet's),Phosphate de sodium (Fleet's),Drug,N/A,,,
2f427b27-c1ba-43e8-a3e1-bda24d9ec103,,,"Nitrofurasone, Neomycin, Dexamethasone (Otofuran®)","Nitrofurasone, Neomycin, Dexamethasone (Otofuran®)",Drug,N/A,,,
c2d40d92-735f-42fe-88e2-be50a53c8f97,,,Latanoprost,Latanoprost,Drug,N/A,,,
6f53a9b8-b484-4899-a020-033500546631,,,Trobramycin,Trobramycine,Drug,N/A,,,
cecfff9f-6e73-4c65-b4a2-43883973b0c5,,,Ketorolac,Kétorolac,Drug,N/A,,,
4bfe538d-32d9-40bc-84de-ff5dc043a301,,,Sodium hyaluronate,Hyaluronate de sodium,Drug,N/A,,,
56b34ea9-95f6-42ea-a582-fc513494602e,,,Tetracycline,Tétracycline,Drug,N/A,,,
23df848e-435a-4f8a-b6bc-27235b98e018,,,Timolol,Timolol,Drug,N/A,,,
e5a0d185-4c6a-42c8-a21e-e7436720d03c,,,Sodium hyaluronate & Oxymetazoline,Hyaluronate de sodium & Oxymetazoline,Drug,N/A,,,
8ebe6adf-72e3-495e-860f-c4a71ffc8016,,,Sodium chloride,Chlorure de sodium,Drug,N/A,,,
3ea490ec-60e1-446e-83ca-6f5d1da8c2e6,,,Brimonidine tartrate,Tartrate de brimonidine,Drug,N/A,,,
b39042a0-345a-478c-8f8c-91286aa066d6,,,Betaxolol,Bétaxolol,Drug,N/A,,,
04c434fc-ab58-4a4f-84c5-18e6eaa08646,,,Brimonidine & timolol,Brimonidine & timolol,Drug,N/A,,,
3d0fed4d-1fd4-44a4-99fd-d59401067134,,,Dorzolamine & timolol,Dorzolamine & timolol,Drug,N/A,,,
975c29db-ab3a-4c08-a3fb-829f79a6a7e8,,,Pilocarpine,Pilocarpine,Drug,N/A,,,
32ed8cb1-bc73-44aa-934d-bf7626154af8,,,Cyclopentolate,Cyclopentolate,Drug,N/A,,,
c5e3d595-76ae-4bf0-81d2-b3db54c36e6b,,,Propacaine,Propacaine,Drug,N/A,,,
8d6744e1-4607-4cef-abd6-0827113e9cbe,,,Phenylephrine,Phenylephrine,Drug,N/A,,,
e1b3ec78-175f-449b-a689-250641da6a05,,,Salbutamol & Iprotopium bromide,Salbutamol & bromure de Iprotopium,Drug,N/A,,,
b2841832-add7-4c6d-aa6e-425b97bb717d,,,Alcohol,Alcohol,Drug,N/A,,,
66010c7d-dd21-4f83-b950-e2fff1ff6a73,,,Chlorhexidine,Chlorhexidine,Drug,N/A,,,
cee47202-131e-46b9-8d23-3321cc03f750,,,Eucerin,Eucerin,Drug,N/A,,,
f3ea42fb-f51f-4083-8b63-d787f8e991c5,,,Phenylephrine & pramoxine,Phenylephrine & pramoxine,Drug,N/A,,,
73bbac06-6b84-4d1c-b961-9fd6437ba89f,,,Mineral oil,Huile minérale,Drug,N/A,,,
dd850b07-d068-441b-a4e9-a806b4f8f004,,,Neomycin & Bacitracin,Néomycine & Bacitracine,Drug,N/A,,,
5b1d3ede-3a08-4939-9b37-887bb63f68f9,,,Permanganate potassium,Permanganate de potassium,Drug,N/A,,,
6985c680-2c42-440a-bbbf-bedeeefe71e7,,,Petrolatum,Pétrolatum,Drug,N/A,,,
f7ae1d83-7687-45da-8327-8bf5532618e9,,,Povidone iodine,Povidone iodine,Drug,N/A,,,
89e4c545-85af-4d9c-9e8c-c8e54f815cf0,,,Silver sulfadiazine,Sulfadiazine argentique,Drug,N/A,,,
407ff256-aa15-4dac-92c1-8173ba46232c,,,Benzathine penicillin,Benzathine pénicilline,Drug,N/A,,,
2bcf9bff-87d5-4abc-b95b-e212f6861dc5,,,Benzyl penicillin,Benzyl pénicilline,Drug,N/A,,,
aee293c2-1ca7-413e-b85a-50ae41bc5305,,,Benzyl penicillin Procaine,Benzyl pénicilline procaine,Drug,N/A,,,
1605530b-1d7a-4a66-bb68-9be3c40d0c74,,,Cefalexin,Céfalexine,Drug,N/A,,,
a93ad5bd-6f39-45d1-8fa7-d21c5bbc7ddd,,,Cefotaxime,Céfotaxime,Drug,N/A,,,
404e784f-e4d8-427d-ad64-196348672168,,,Erythromycin,Erythromycine,Drug,N/A,,,
9019b2e5-62fd-4238-b448-909a44f845ca,,,Gentamicin,Gentamicine,Drug,N/A,,,
36d8bcf5-01f1-4c60-ac78-a7b5ccd31f2d,,,Quinine sulfate,Sulfate de quinine,Drug,N/A,,,
facb9b18-efad-4c4f-8855-0d20316a9326,,,Serum antitetatique,Serum antitetatique,Drug,N/A,,,
41f47998-29ae-4f21-ad8c-32c50d0939f6,,,Vancomycin,Vancomycine,Drug,N/A,,,
ab684df6-849b-42f7-84db-e4d974d3941c,,,Rifampicin & Isoniazide & Pyrazinamide,Rifampicine & Isoniazide & Pyrazinamide,Drug,N/A,,,
a75e7808-8b0a-4fbd-9ec9-244d632d71a8,,,Rifampicin & Izsoniazide & Ethambutol,Rifampicine & Izsoniazide & Ethambutol,Drug,N/A,,,
f292890a-e7ea-4dc8-b505-79e329e31b52,,,Abacavir (ABC),Abacavir (ABC),Drug,N/A,,,
5c8b92d4-a633-4d47-bb89-b08a65aea42e,,,Atazanavir & Ritonavir,Atazanavir & Ritonavir,Drug,N/A,,,
db3f2064-e3e5-450d-82d1-e07944d48430,,,Didanosine (DDI),Didanosine (DDI),Drug,N/A,,,
6744c8d5-ac9b-4552-ab55-6e9b2d235b75,,,Efavirenz (ENV or EFZ),Efavirenz (ENV ou EFZ),Drug,N/A,,,
da210f84-25d6-45a1-a8f4-7da11dadb24b,,,Efavirenz & Lamivudine & Tenofovir,Efavirenz & Lamivudine & Tenofovir,Drug,N/A,,,
55f59f64-9160-4a5a-865a-ac7bbaff3833,,,Lamivudine (3TC),Lamivudine (3TC),Drug,N/A,,,
dd2af8e4-fc75-4dc6-b66b-18cab45f01c5,,,Lamivudine & Tenofovir,Lamivudine & Tenofovir,Drug,N/A,,,
63405d09-cdb2-4ced-995d-fa4eef9f8781,,,Lopinavir & Ritonavir (LPV/r),Lopinavir & Ritonavir (LPV/r),Drug,N/A,,,
1bcc8df8-076b-46f6-afc0-c1cbf9e33438,,,Nevirapine (NVP),Névirapine (NVP),Drug,N/A,,,
dc93032f-aff4-445f-bc64-c4524ca314ac,,,Tenofovir,Ténofovir,Drug,N/A,,,
e14ca630-37ba-4a2b-94ac-fd2c3fa01d10,,,Zidovudine (AZT),Zidovudine (AZT),Drug,N/A,,,
72e3dc8b-9d9c-4978-b3a7-773df0045460,,,Zidovudine & Lamivudine (AZT/3TC),Zidovudine & Lamivudine (AZT/3TC),Drug,N/A,,,
32369173-ba00-455c-a85e-b0377e24a948,,,Zidovudine & Lamivudine & Nevirapine (AZT/3TC/NVP),Zidovudine & Lamivudine & Nevirapine (AZT/3TC/NVP),Drug,N/A,,,
4f60c141-9051-4f22-a4b1-f286e17681a8,,,BCG vaccine,BCG vaccine,Drug,N/A,,,
b5a7051e-b3c0-4aa7-b4aa-9b5a3b64e1af,,,Moderna Covid 19 Vaccine,Moderna Covid 19 Vaccine,Drug,N/A,,,
0158e0b1-5fe4-4238-b06d-7fdede7b261a,,,Pfizer-BioNTech Covid 19 Vaccine,Pfizer-BioNTech Covid 19 Vaccine,Drug,N/A,,,
0d4c670b-5107-4c4f-8bb8-0e564b54f980,,,Johnson & Johnson Covid 19 Vaccine,Johnson & Johnson Covid 19 Vaccine,Drug,N/A,,,
556d6907-f002-42e9-96ba-af6c6f4b6d2e,,,Oral polio vaccine (OPV),Vaccin polio oral (VPO),Drug,N/A,,,
e981d07a-3541-4c09-9916-cc1460757c7b,,,Polio Vaccine-Inactivated Vaccine (IPV),Vaccin antipoliomyélitique inactivé (VPI),Drug,N/A,,,
7a849926-646e-4e96-948e-68dfe6272591,,,Measles Rubella Vaccine (MR),Vaccin rubéole rougeole (RR),Drug,N/A,,,
613c8c54-a1f5-435c-a1f0-ec9beaa42d06,,,Pentavalent Vaccine (Penta),Pentavalent Vaccine (Penta),Drug,N/A,,,
7dc377e9-793c-4ad5-8d79-59811de57d31,,,Rotavirus Vaccine (Rota),Vaccin rotavirus (Rota),Drug,N/A,,,
51ef2b9a-2ac7-4903-9594-c1bdb88eb10d,,,Diphtheria Tetanus Vaccine (DT),Vaccin diphtérique tétanique (dT),Drug,N/A,,,
59381959-d0c2-4bfb-9da5-fbf75a046827,,,Diphtheria Tetanus Pertusis Vaccine (DTP),Vaccin diphtérique tétanique coquelucheux (DTP),Drug,N/A,,,
c1c2676e-0533-40f7-89b4-f6f071817e02,,,Pneumococcal Vaccine (PCV13),Vaccin pneumocoque (PCV13),Drug,N/A,,,
c5032f5b-11b8-49f2-a183-bd3d3a95df31,,,Ready-to-Use Supplementary Foods,Aliments Suplementaires Prets a l'emploi (ASPE),Drug,N/A,,,
92836bbe-aa15-458f-97d6-96da0a5a2345,,,Aminophyllin,Aminophylline,Drug,N/A,,,
51aba50f-c957-494b-aae9-c8137e56d303,,,Biperidene lactate,Lactate de bipéridène,Drug,N/A,,,
c731f7a1-669d-43fe-89b4-1cc4655c7156,,,Calcium & vit,Calcium & vit,Drug,N/A,,,
ebe04ba6-768f-42e5-9933-a5449b51a210,,,Activated charcoal,Charbon activé,Drug,N/A,,,
a67db321-80d4-41f0-be6a-24f50d11c804,,,Cisatracurium,Cisatracurium,Drug,N/A,,,
f4392a22-8b70-44b1-ae74-78ea084b76ef,,,Clomifen citrate,Clomifen citrate,Drug,N/A,,,
28ed2e52-c83c-4956-95f2-0b4cf1c27655,,,Cortisone & antibiotic & antimycotic,Cortisone & antibio & antimycosique,Drug,N/A,,,
18b4fab2-68da-4ea4-9f05-4664ac6d855d,,,Dextran in NaCl,Dextrane dans NaCl,Drug,N/A,,,
14146168-c1af-414c-b211-679cf1952d3d,,,Enoxaparin,Énoxaparine,Drug,N/A,,,
e198d906-4a82-42bb-bc03-38d8083ca324,,,Ephedrine,éphédrine,Drug,N/A,,,
62313920-a030-48fa-aa97-db7b3afadaba,,,Esmolol,Esmolol,Drug,N/A,,,
153a837f-9c6b-4011-b062-0add78571d1a,,,Etomidate,Etomidate,Drug,N/A,,,
1a615bb7-2fc4-419c-98b9-93f05e3953b8,,,Fenofibrate,Fénofibrate,Drug,N/A,,,
0a5315d5-9599-43ac-868a-96a4278a617a,,,Fer elementaire & Acide folique,Fer elementaire & Acide folique,Drug,N/A,,,
56a2f553-a2f8-4a85-b66d-b6d0db670515,,,Flumazenil,Flumazénil,Drug,N/A,,,
9643b503-02ec-4fde-aeb1-a293dc8d7c75,,,Glycopyrrolate,Glycopyrrolate,Drug,N/A,,,
b07006a3-62c1-485a-b8ef-af0de629d04c,,,Hialorunate de Na+,Hialorunate de Na+,Drug,N/A,,,
bd8f1042-b1bd-4bb2-8b3b-fbda065e371f,,,Hialorunate de Na+ et oxymetazoline,Hialorunate de Na+ et oxymetazoline,Drug,N/A,,,
3673e2b5-63bd-400a-a499-87d15e50d8a7,,,Hydrocortisone hemorrhoidal,Hydrocortisone hémorroïdaire,Drug,N/A,,,
7055f997-aef8-4c05-9b18-6e002c6add03,,,Rabies immunoglobulins,Immunoglobulines antirabiques,Drug,N/A,,,
13c78cde-f14e-4ce9-94db-67e549dc8903,,,Formula Milk,Formule Lait,Drug,N/A,,,
4c7472fd-a025-49a1-bdca-ffd7d4fd766f,,,Lidocaine w & epinephrine dental,Lidocaine w & epinephrine dental,Drug,N/A,,,
89ed13af-d803-46dc-a1f2-3db6c5b8969b,,,Meperidine,Mépéridine,Drug,N/A,,,
9cf2bb23-9d7c-4281-862c-aa1e5ed94802,,,MTV & Fer gttes (pr neonato),MTV & Fer gttes (pr neonato),Drug,N/A,,,
3009dd8b-d64f-44a0-ba23-2e33ca11279b,,,Nitroprussiate,Nitroprussiate,Drug,N/A,,,
70298171-26e2-4e1c-8b46-036b09e52af9,,,Noradrenaline,Noradrénaline,Drug,N/A,,,
8f63ffb3-f3cc-4242-8de4-1c1b097a14ad,,,Parenteral nutrition (peripheral at least),Nutrition parentérale (périphérique au moins),Drug,N/A,,,
677d828f-8b7f-4fae-9391-f726b4eae941,,,Petroleum,Pétrole,Drug,N/A,,,
1fe88165-4877-427f-846e-b3b310039f15,,,Propafenone,Propafénone,Drug,N/A,,,
a90d51dd-bd38-4534-8ff6-d363d7f11fb0,,,Glycerin,glycérine,Drug,N/A,,,
c7eb7c7d-55d5-4163-acc4-35b14b715a96,,,Bupivacaine,Bupivacaïne,Drug,N/A,,,
5f373a4f-5793-4660-9868-87df0eca033a,,,Propylthiouracil,Propylthiouracile,Drug,N/A,,,
3ea17ac3-945f-48aa-a651-cd61ee838e97,,,Protamine sulfate,Sulfate de protamine,Drug,N/A,,,
3ab0a0ea-241d-42f4-8f86-b256c848f947,,,Sildenafil,Sildénafil,Drug,N/A,,,
fb7fc6f2-d105-4063-a35a-113e71857c5a,,,Streptokinase,Streptokinase,Drug,N/A,,,
c02185e2-eee3-4f1a-bb99-501d565499cd,,,Tamoxifen,Tamoxifène,Drug,N/A,,,
d22ab275-609b-458b-ba00-b9697af0bd41,,,Tobramycin,Tobramycine,Drug,N/A,,,
a52f6561-87d2-4f1c-b173-42ed8d27aaa7,,,Tocopherol,Tocophérol,Drug,N/A,,,
fb9b6f7f-af33-4988-8865-7e2b7ea20f92,,,Vasopressin,Vasopressine,Drug,N/A,,,
f2300d2e-7751-4504-aff4-7d8f68e14165,,,Vitamins A and D,Vitamines A et D,Drug,N/A,,,
eac72f49-5761-42bd-94f5-d2ea19810bd1,,,Voltaren,Voltarène,Drug,N/A,,,
a5a5aaf1-541e-4ca6-9753-bd4b0e479f81,,,Ciprofloxacin,Ciprofloxacine,Drug,N/A,,,
136d7f67-07d7-48f3-9bc8-8b275f0d45c3,,,Someticone,Someticone,Drug,N/A,,,
bb9c9e33-00db-4f9f-b230-adde3df9b092,,,Primoquine,Primoquine,Drug,N/A,,,
